text,x0,x1,top,doctop,bottom,upright,height,width,direction,page
RELAY,2198.208192,2211.2497845,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,13.041592499999751,ltr,23
2,2212.7351595,2215.3969515,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,2.6617919999998776,ltr,23
INPUT,2939.76,2951.8568940000005,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,12.096894000000248,ltr,23
OUTPUT,2991.66,3008.1238965000002,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,16.463896500000374,ltr,23
RJ45,1894.38,1904.8251570000002,270.34085849999974,25182.3408585,276.2823585000001,True,5.94150000000036,10.445157000000108,ltr,23
LAN,1933.14,1941.3689775,270.40085850000014,25182.4008585,276.3423585000005,True,5.94150000000036,8.228977499999928,ltr,23
5,1942.8543525,1945.5161445,270.40085850000014,25182.4008585,276.3423585000005,True,5.94150000000036,2.661792000000105,ltr,23
(POE+),1947.0015195,1960.5303150000002,270.40085850000014,25182.4008585,276.3423585000005,True,5.94150000000036,13.528795500000115,ltr,23
RJ45,1988.94,1999.3851570000002,270.34085849999974,25182.3408585,276.2823585000001,True,5.94150000000036,10.445157000000108,ltr,23
PHX,2186.04,2194.2570944999998,270.34085849999974,25182.3408585,276.2823585000001,True,5.94150000000036,8.217094499999803,ltr,23
